task,top_model,comparator,top_wins,comparator_wins,ties,mean_f1_diff,ci95_low,ci95_high,wilcoxon_or_sign_p,holm_within_task_p
COADREAD_molecular_subtype,extra_trees,small_liquid_cfc_modality_sequence,5,5,0,0.004848943920744109,-0.04190441252654876,0.05095827390664433,1.0,1.0
COADREAD_molecular_subtype,extra_trees,mlp_early_fusion,5,4,1,0.00802640054997622,-0.019186263269189388,0.033910034793208185,0.65234375,1.0
COADREAD_molecular_subtype,extra_trees,logistic_elasticnet,7,3,0,0.022388001315597917,-0.010920824190082222,0.05362937096450111,0.193359375,0.7734375
COADREAD_molecular_subtype,extra_trees,liquid_cfc_modality_sequence,6,3,1,0.025427936138730643,-0.016017667849529245,0.06587911124501765,0.25,0.7734375
COADREAD_molecular_subtype,extra_trees,random_forest,6,3,1,0.03762966105925218,0.003748868707308549,0.0719367333078969,0.09765625,0.5859375
COADREAD_molecular_subtype,extra_trees,hist_gradient_boosting,8,1,1,0.044078255153369404,-0.008842061285666036,0.08452138270900912,0.09765625,0.5859375
HNSC_HPV_status,logistic_elasticnet,hist_gradient_boosting,5,2,3,0.01591932610899637,-0.01293420990137557,0.045475787049727,0.375,0.4453125
HNSC_HPV_status,logistic_elasticnet,extra_trees,7,2,1,0.02210204841857908,-0.015655758707789097,0.05333715450451411,0.203125,0.4453125
HNSC_HPV_status,logistic_elasticnet,random_forest,8,1,1,0.042257087178268996,0.008331522422611027,0.07515007070956786,0.0546875,0.21875
HNSC_HPV_status,logistic_elasticnet,liquid_cfc_modality_sequence,6,2,2,0.06750048560742603,0.006386590335402632,0.13918328824263373,0.1484375,0.4453125
HNSC_HPV_status,logistic_elasticnet,small_liquid_cfc_modality_sequence,6,2,2,0.07221673832816353,0.017423891439392457,0.13535341579199453,0.0390625,0.1953125
HNSC_HPV_status,logistic_elasticnet,mlp_early_fusion,8,1,1,0.09385835673300119,0.04441640384557446,0.138185237655568,0.0078125,0.046875
KIRC_grade_binary,random_forest,extra_trees,4,4,2,0.012218563414382799,-0.005810401894906304,0.03193775555953729,0.3125,0.625
KIRC_grade_binary,random_forest,hist_gradient_boosting,5,4,1,0.02550985583919817,-0.017114212678054498,0.06815371531520219,0.359375,0.625
KIRC_grade_binary,random_forest,small_liquid_cfc_modality_sequence,7,3,0,0.02833974616778001,0.0012495395259336508,0.05430984586503261,0.10546875,0.52734375
KIRC_grade_binary,random_forest,liquid_cfc_modality_sequence,7,3,0,0.03310809247207623,0.0007334332910025009,0.06894150579787266,0.16015625,0.52734375
KIRC_grade_binary,random_forest,logistic_elasticnet,8,2,0,0.03915523861510702,0.01601506144763155,0.060564839473510455,0.01953125,0.1171875
KIRC_grade_binary,random_forest,mlp_early_fusion,7,3,0,0.0401559244067665,0.003972482836927759,0.07804919643364201,0.10546875,0.52734375
PRAD_pathologic_T_stage,random_forest,hist_gradient_boosting,7,3,0,0.0021015498432677194,-0.04401995358261724,0.03733783692178872,0.431640625,1.0
PRAD_pathologic_T_stage,random_forest,extra_trees,7,3,0,0.005695729757893869,-0.03190865972537535,0.03806201276936013,0.625,1.0
PRAD_pathologic_T_stage,random_forest,liquid_cfc_modality_sequence,6,4,0,0.00967741827169431,-0.044938548125226685,0.052412106006787876,0.431640625,1.0
PRAD_pathologic_T_stage,random_forest,small_liquid_cfc_modality_sequence,7,3,0,0.011678601656212489,-0.04912222896572749,0.06268422258349515,0.375,1.0
PRAD_pathologic_T_stage,random_forest,mlp_early_fusion,7,3,0,0.017688191643983657,-0.042477175922720996,0.07023701622873696,0.625,1.0
PRAD_pathologic_T_stage,random_forest,logistic_elasticnet,7,3,0,0.05310741617974586,-0.015503099210181165,0.11083432122350473,0.232421875,1.0
UCEC_molecular_subtype,extra_trees,logistic_elasticnet,7,3,0,0.005331773773935821,-0.03873385715674061,0.04586283478191527,0.6953125,1.0
UCEC_molecular_subtype,extra_trees,liquid_cfc_modality_sequence,5,4,1,0.005886016422689533,-0.030404116602035534,0.04188226054903927,0.8203125,1.0
UCEC_molecular_subtype,extra_trees,random_forest,7,3,0,0.006881093104957015,-0.02207856610605224,0.028969614328228668,0.193359375,1.0
UCEC_molecular_subtype,extra_trees,mlp_early_fusion,7,3,0,0.014574849295875093,-0.025173073015393614,0.05775284286264314,0.625,1.0
UCEC_molecular_subtype,extra_trees,hist_gradient_boosting,6,4,0,0.020854218434761363,-0.02049778179501933,0.05734483267638642,0.322265625,1.0
UCEC_molecular_subtype,extra_trees,small_liquid_cfc_modality_sequence,5,4,1,0.022241745796038104,-0.0198452271246291,0.06559085255341639,0.359375,1.0
